news_date,news_href,news_title
06:36 | 2022/06/28,/%E8%B6%8A%E8%8B%B1%E5%8A%A0%E5%BC%BA%E6%94%BF%E6%B2%BB%E4%BA%92%E4%BF%A1%E5%92%8C%E8%AE%AE%E4%BC%9A%E5%90%88%E4%BD%9C-116220628094108266.htm,越英加强政治互信和议会合作
06:33 | 2022/06/28,/%E8%B6%8A%E5%8D%97%E5%9B%BD%E4%BC%9A%E4%B8%BB%E5%B8%AD%E7%8E%8B%E5%BB%B7%E6%83%A0%E5%90%8C%E5%8C%88%E7%89%99%E5%88%A9%E5%9B%BD%E4%BC%9A%E4%B8%BB%E5%B8%AD%E5%85%8B%E9%9F%A6%E5%B0%94%E6%8B%89%E6%96%AF%E6%B4%9B%E4%B8%BE%E8%A1%8C%E4%BC%9A%E8%B0%88-116220628093615172.htm,越南国会主席王廷惠同匈牙利国会主席克韦尔·拉斯洛举行会谈
06:21 | 2022/06/28,/%E8%B6%8A%E4%B8%AD%E5%8F%8C%E8%BE%B9%E5%90%88%E4%BD%9C%E6%8C%87%E5%AF%BC%E5%A7%94%E5%91%98%E4%BC%9A%E5%8F%8C%E6%96%B9%E7%A7%98%E4%B9%A6%E9%95%BF%E4%B8%BE%E8%A1%8C%E8%A7%86%E9%A2%91%E4%BC%9A%E6%99%A4-116220628092419621.htm,越中双边合作指导委员会双方秘书长举行视频会晤
18:24 | 2022/06/27,/%E8%B6%8A%E5%85%B1%E4%B8%AD%E5%A4%AE%E6%80%BB%E4%B9%A6%E8%AE%B0%E9%98%AE%E5%AF%8C%E4%BB%B2%E5%90%8C%E6%9F%AC%E5%9F%94%E5%AF%A8%E4%BA%BA%E6%B0%91%E5%85%9A%E4%B8%BB%E5%B8%AD%E6%B4%AA%E6%A3%AE%E4%BA%B2%E7%8E%8B%E9%80%9A%E7%94%B5%E8%AF%9D-116220628092752611.htm,越共中央总书记阮富仲同柬埔寨人民党主席洪森亲王通电话
06:52 | 2022/06/27,/%E7%8E%8B%E5%BB%B7%E6%83%A0%E4%B8%BB%E5%B8%AD%E5%88%B0%E8%AE%BF%E5%A5%A5%E5%B0%94%E6%8B%9C%E8%92%82%E5%B0%94%E7%BB%8D%E5%B8%82%E4%BC%9A%E8%A7%81%E5%8C%88%E7%89%99%E5%88%A9%E5%9B%BD%E4%BC%9A%E5%89%AF%E4%B8%BB%E5%B8%AD-11622062709455705.htm,王廷惠主席到访奥尔拜蒂尔绍市，会见匈牙利国会副主席
09:20 | 2022/06/26,/%E8%B6%8A%E5%8D%97%E5%9B%BD%E4%BC%9A%E4%B8%BB%E5%B8%AD%E7%8E%8B%E5%BB%B7%E6%83%A0%E5%BC%80%E5%A7%8B%E5%AF%B9%E5%8C%88%E7%89%99%E5%88%A9%E8%BF%9B%E8%A1%8C%E6%AD%A3%E5%BC%8F%E8%AE%BF%E9%97%AE-116220626232246498.htm,越南国会主席王廷惠开始对匈牙利进行正式访问
06:23 | 2022/06/26,/2022%E5%B9%B4%E5%B2%98%E6%B8%AF%E6%8A%95%E8%B5%84%E8%AE%BA%E5%9D%9B%E4%B8%BE%E8%A1%8C%E8%8C%83%E6%98%8E%E6%AD%A3%E6%80%BB%E7%90%86%E5%87%BA%E5%B8%AD-116220626232621467.htm,2022年岘港投资论坛举行 范明正总理出席
06:59 | 2022/06/25,/%E6%8E%A8%E5%8A%A8%E8%B6%8A%E6%B3%B0%E6%88%98%E7%95%A5%E4%BC%99%E4%BC%B4%E5%85%B3%E7%B3%BB%E5%90%91%E5%89%8D%E5%8F%91%E5%B1%95-116220625180101341.htm,推动越泰战略伙伴关系向前发展
06:53 | 2022/06/25,/%E6%BD%98%E6%96%87%E6%B1%9F%E5%A4%A7%E5%B0%86%E4%BC%9A%E8%A7%81%E5%8D%B3%E5%B0%86%E7%A6%BB%E4%BB%BB%E7%9A%84%E6%BE%B3%E5%A4%A7%E5%88%A9%E4%BA%9A%E9%A9%BB%E8%B6%8A%E5%A4%A7%E4%BD%BF-116220625175920216.htm,潘文江大将会见即将离任的澳大利亚驻越大使
06:50 | 2022/06/25,/%E5%8D%B0%E5%BA%A6%E9%9A%90%E5%BD%A2%E6%88%98%E8%88%B0%E6%8A%B5%E8%BE%BE%E8%83%A1%E5%BF%97%E6%98%8E%E5%B8%82-116220625175248876.htm,印度隐形战舰抵达胡志明市
06:48 | 2022/06/25,/%E8%B6%8A%E5%85%B1%E4%B8%AD%E5%A4%AE%E6%80%BB%E4%B9%A6%E8%AE%B0%E9%98%AE%E5%AF%8C%E4%BB%B2%E4%BC%9A%E8%A7%81%E6%9F%AC%E5%9F%94%E5%AF%A8%E7%8E%8B%E5%9B%BD%E9%AB%98%E7%BA%A7%E4%BB%A3%E8%A1%A8%E5%9B%A2-116220625174941173.htm,越共中央总书记阮富仲会见柬埔寨王国高级代表团
06:44 | 2022/06/25,/%E6%9F%AC%E5%9F%94%E5%AF%A8%E5%89%AF%E9%A6%96%E7%9B%B8%E6%84%9F%E8%B0%A2%E8%B6%8A%E5%8D%97%E7%9A%84%E5%B7%A8%E5%A4%A7%E5%B8%AE%E5%8A%A9%E5%92%8C%E5%9B%A2%E7%BB%93%E6%83%85%E8%B0%8A-116220625102020637.htm,"柬埔寨副首相感谢越南的巨大帮助和团结情谊
"
17:43 | 2022/06/24,/%E8%B6%8A%E5%8D%97%E4%B8%8E%E6%B3%B0%E5%9B%BD%E6%8E%A8%E8%BF%9B%E5%A4%9A%E9%A2%86%E5%9F%9F%E5%90%88%E4%BD%9C-116220624193533954.htm,越南与泰国推进多领域合作
09:03 | 2022/06/24,/%E8%B6%8A%E5%8D%97%E6%9F%AC%E5%9F%94%E5%AF%A8%E5%BB%BA%E7%AB%8B%E5%A4%96%E4%BA%A4%E5%85%B3%E7%B3%BB55%E5%91%A8%E5%B9%B4-116220625180505919.htm,越南柬埔寨建立外交关系55周年
07:11 | 2022/06/24,/%E5%85%A8%E7%90%83%E5%A6%87%E5%A5%B3%E5%B3%B0%E4%BC%9A%E8%B6%8A%E5%8D%97%E5%9C%A8%E5%8F%91%E5%B1%95%E8%BF%87%E7%A8%8B%E4%B8%AD%E4%BF%83%E8%BF%9B%E6%80%A7%E5%88%AB%E5%B9%B3%E7%AD%89-116220624131758201.htm,全球妇女峰会：越南在发展过程中促进性别平等
21:38 | 2022/06/23,/%E8%A6%81%E6%B1%82%E4%B8%AD%E5%9B%BD%E5%B0%8A%E9%87%8D%E8%B6%8A%E5%8D%97%E7%9A%84%E4%B8%BB%E6%9D%83-116220623213809048.htm,要求中国尊重越南的主权
17:36 | 2022/06/23,/%E9%98%AE%E6%98%A5%E7%A6%8F%E4%B8%BB%E5%B8%AD%E4%BC%9A%E8%A7%81%E5%8D%B3%E5%B0%86%E7%A6%BB%E4%BB%BB%E7%9A%84%E6%B2%99%E7%89%B9%E9%98%BF%E6%8B%89%E4%BC%AF%E4%BB%A5%E8%89%B2%E5%88%97%E9%98%BF%E5%A1%9E%E6%8B%9C%E7%96%86%E7%AD%893%E5%9B%BD%E9%A9%BB%E8%B6%8A%E5%A4%A7%E4%BD%BF-116220623183943891.htm,阮春福主席会见即将离任的沙特阿拉伯、以色列、阿塞拜疆等3国驻越大使
15:38 | 2022/06/23,/%E6%B7%B1%E5%8C%96%E8%B6%8A%E5%8D%97%E5%8C%88%E7%89%99%E5%88%A9%E5%8F%8C%E8%BE%B9%E5%85%B3%E7%B3%BB-116220623163949092.htm,深化越南匈牙利双边关系
07:29 | 2022/06/23,/%E8%B6%8A%E5%8D%97%E5%A4%96%E9%95%BF%E8%A3%B4%E9%9D%92%E5%B1%B1%E4%B8%8E%E9%98%BF%E6%9B%BC%E5%A4%96%E9%95%BF%E5%B7%B4%E5%BE%B7%E5%B0%94%E9%80%9A%E7%94%B5%E8%AF%9D-116220623093156635.htm,越南外长裴青山与阿曼外长巴德尔通电话
07:28 | 2022/06/23,/%E8%B6%8A%E5%8D%97%E5%9B%BD%E9%98%B2%E9%83%A8%E9%95%BF%E6%BD%98%E6%96%87%E6%B1%9F%E4%BC%9A%E6%99%A4%E8%80%81%E6%8C%9D%E6%97%A5%E6%9C%AC%E5%92%8C%E6%9F%AC%E5%9F%94%E5%AF%A8%E5%9B%BD%E9%98%B2%E9%83%A8%E9%83%A8%E9%95%BF-11622062309483334.htm,越南国防部长潘文江会晤老挝、日本和柬埔寨国防部部长
07:28 | 2022/06/23,/%E6%94%BF%E5%BA%9C%E5%B8%B8%E5%8A%A1%E5%89%AF%E6%80%BB%E7%90%86%E8%8C%83%E5%B9%B3%E6%98%8E%E8%B6%8A%E5%8D%97%E6%94%BF%E5%BA%9C%E6%AC%A2%E8%BF%8E%E9%9F%A9%E5%9B%BD%E4%BC%81%E4%B8%9A%E5%8A%A0%E5%A4%A7%E5%9C%A8%E8%B6%8A%E5%8D%97%E6%8A%95%E8%B5%84-116220623093501479.htm,政府常务副总理范平明：越南政府欢迎韩国企业加大在越南投资
07:26 | 2022/06/23,/%E8%B6%8A%E5%8D%97%E5%A4%96%E9%95%BF%E8%A3%B4%E9%9D%92%E5%B1%B1%E4%BC%9A%E8%A7%81%E9%98%BF%E8%81%94%E9%85%8B%E5%A4%96%E4%BA%A4%E4%B8%8E%E5%9B%BD%E9%99%85%E5%90%88%E4%BD%9C%E9%83%A8%E9%83%A8%E9%95%BF%E5%8A%A9%E7%90%86%E9%98%BF%E5%8D%9C%E6%9D%9C%E7%BA%B3%E8%B5%9B%E5%B0%94%E6%B2%99%E5%88%A9-116220623094349263.htm,越南外长裴青山会见阿联酋外交与国际合作部部长助理阿卜杜纳赛尔·沙利
16:04 | 2022/06/22,/%E8%B6%8A%E5%8D%97%E5%9B%BD%E5%AE%B6%E4%B8%BB%E5%B8%AD%E9%98%AE%E6%98%A5%E7%A6%8F%E4%BC%9A%E8%A7%81%E8%8E%AB%E6%A1%91%E6%AF%94%E5%85%8B%E5%9B%BD%E6%B0%91%E8%AE%AE%E4%BC%9A%E8%AE%AE%E9%95%BF-116220622170648168.htm,越南国家主席阮春福会见莫桑比克国民议会议长
16:03 | 2022/06/22,/%E4%B8%9C%E7%9B%9F-%E6%97%A5%E6%9C%AC%E6%90%BA%E6%89%8B%E6%8E%A8%E8%BF%9B%E5%85%A8%E9%9D%A2%E5%A4%8D%E8%8B%8F%E5%92%8C%E5%8F%AF%E6%8C%81%E7%BB%AD%E5%8F%91%E5%B1%95-116220622171042793.htm,东盟-日本携手推进全面复苏和可持续发展
14:03 | 2022/06/22,/%E4%B8%9C%E7%9B%9F%E5%8A%A0%E6%8B%BF%E5%A4%A7%E5%85%B3%E7%B3%BB%E5%8F%91%E5%B1%95%E7%A9%BA%E9%97%B4%E5%B9%BF%E9%98%94-11622062217133484.htm,东盟加拿大关系发展空间广阔
07:56 | 2022/06/22,/%E8%B6%8A%E5%85%B1%E4%B9%A6%E8%AE%B0%E5%A4%84%E5%B8%B8%E5%8A%A1%E4%B9%A6%E8%AE%B0%E6%AD%A6%E6%96%87%E8%B5%8F%E4%BC%9A%E8%A7%81%E8%8E%AB%E6%A1%91%E6%AF%94%E5%85%8B%E8%AE%AE%E4%BC%9A%E8%AE%AE%E9%95%BF-116220622100627572.htm,越共书记处常务书记武文赏会见莫桑比克议会议长
07:56 | 2022/06/22,/%E8%8C%83%E6%98%8E%E6%AD%A3%E6%80%BB%E7%90%86%E4%BC%9A%E8%A7%81%E8%8E%AB%E6%A1%91%E6%AF%94%E5%85%8B%E8%AE%AE%E4%BC%9A%E8%AE%AE%E9%95%BF-116220622100319025.htm,范明正总理会见莫桑比克议会议长
17:57 | 2022/06/21,/%E8%8C%83%E6%98%8E%E6%AD%A3%E6%80%BB%E7%90%86%E4%B9%98%E5%9D%90%E7%9B%B4%E5%8D%87%E6%9C%BA%E8%A7%86%E5%AF%9F%E4%B9%9D%E9%BE%99%E6%B1%9F%E4%B8%89%E8%A7%92%E6%B4%B2%E9%AB%98%E9%80%9F%E5%85%AC%E8%B7%AF2%E7%BA%BF%E8%B7%AF-116220621184336447.htm,范明正总理乘坐直升机视察九龙江三角洲高速公路2线路
17:03 | 2022/06/21,/%E6%8E%A8%E8%BF%9B%E8%B6%8A%E5%8D%97%E4%B8%8E%E5%BE%B7%E5%9B%BD%E5%90%84%E5%9C%B0%E5%90%88%E4%BD%9C-116220622150448434.htm,推进越南与德国各地合作
